Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_hijos,Año_registro,Total_gasto,Total_compras,Campañas_aceptadas,Cluster_KMeans,Clusters_Jerarquicos,Cluster_DBSCAN
Licenciatura,Divorciado,28510.0,1,1,2013-04-13,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,0,45,2,2013,91,9,0,1,1,0
Maestría,Soltero,90638.0,0,0,2014-02-13,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,35,0,2014,2525,18,1,0,0,-1
Licenciatura,Unión Libre,48070.0,0,1,2013-01-13,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,1,0,76,1,2013,504,19,0,1,0,0
Licenciatura,Casado,43140.0,0,1,2013-01-05,68,134,8,76,6,0,11,1,4,1,5,6,0,0,0,0,0,0,0,69,1,2013,235,11,0,1,0,0
Doctorado,Divorciado,54959.0,0,1,2013-01-19,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,0,0,0,0,1,65,1,2013,1232,21,2,0,0,-1
Básica,Soltero,15056.0,1,1,2013-05-03,76,6,12,3,21,6,40,5,2,2,3,5,0,0,0,0,0,0,0,68,2,2013,88,12,0,1,1,-1
Licenciatura,Soltero,26954.0,1,0,2014-05-08,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,55,1,2014,17,4,0,1,1,0
Licenciatura,Soltero,22327.0,1,0,2013-08-02,94,5,4,8,2,0,5,1,1,0,3,5,0,0,0,0,0,0,0,41,1,2013,24,5,0,1,1,0
Licenciatura,Casado,44393.0,1,1,2013-08-22,86,24,2,20,2,2,10,2,1,0,4,4,0,0,0,0,0,0,0,61,2,2013,60,7,0,1,1,0
Doctorado,Soltero,62000.0,0,1,2013-08-25,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,74,1,2013,1020,26,1,0,0,-1
Doctorado,Unión Libre,31497.0,0,1,2012-12-06,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,0,64,1,2012,155,10,0,1,0,0
Posgrado,Casado,45894.0,0,2,2014-02-27,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,0,52,2,2014,51,5,0,1,1,0
Maestría,Divorciado,78579.0,0,0,2012-12-22,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,1,56,0,2012,1812,16,1,0,0,-1
Maestría,Viudo,67369.0,0,1,2012-11-17,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,1,0,0,0,1,57,1,2012,1461,25,3,0,0,-1
Licenciatura,Divorciado,58401.0,0,1,2014-04-20,55,10,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,0,66,1,2014,96,6,0,1,1,0
Licenciatura,Soltero,62307.0,0,1,2014-02-17,94,87,13,34,10,6,10,1,4,0,4,5,0,0,0,0,0,0,0,74,1,2014,160,9,0,1,0,0
Maestría,Casado,43641.0,1,1,2013-04-22,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,0,57,2,2013,139,10,0,1,1,0
Maestría,Divorciado,63841.0,0,1,2013-04-21,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,58,1,2013,908,22,0,0,0,0
Posgrado,Casado,46891.0,0,1,2013-09-01,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,61,1,2013,183,8,0,1,1,0
Maestría,Casado,70091.0,1,0,2013-03-31,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,0,57,1,2013,1161,19,1,0,0,0
Doctorado,Casado,78075.0,0,0,2014-04-05,72,572,8,259,34,35,80,1,3,5,5,1,0,0,0,0,0,0,0,54,0,2014,988,14,0,0,0,0
Posgrado,Viudo,59184.0,0,1,2012-09-09,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,65,1,2012,1072,27,0,0,0,-1
Licenciatura,Casado,54809.0,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,49,2,2013,174,12,0,1,0,0
Licenciatura,Casado,58113.0,0,1,2013-01-25,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,0,67,1,2013,758,22,0,0,0,0
Maestría,Casado,51412.0,0,1,2013-12-31,42,140,3,29,4,5,14,2,3,2,4,4,0,0,0,0,0,0,0,68,1,2013,195,11,0,1,1,0
Licenciatura,Divorciado,15287.0,1,0,2012-10-10,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,47,1,2012,31,6,2,1,1,-1
Maestría,Unión Libre,66636.0,0,0,2013-08-17,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0,0,0,0,0,69,0,2013,1084,17,0,0,0,0
Maestría,Casado,50965.0,0,1,2013-02-20,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,0,70,1,2013,685,22,1,0,0,0
Doctorado,Casado,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,61,0,2013,1672,26,1,0,0,0
Licenciatura,Casado,18351.0,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,36,0,2013,43,6,0,1,1,0
Doctorado,Unión Libre,40451.0,0,2,2014-02-16,54,35,0,4,0,0,10,1,1,1,2,5,1,0,0,0,0,0,0,69,2,2014,49,5,1,1,1,0
Licenciatura,Unión Libre,36317.0,0,1,2013-05-22,53,87,3,25,3,2,13,2,3,0,4,7,0,0,0,0,0,0,0,61,1,2013,133,9,0,1,1,0
Licenciatura,Unión Libre,42213.0,0,1,2013-10-12,96,309,3,24,4,3,20,2,5,1,7,7,0,1,0,0,0,0,0,69,1,2013,363,15,1,1,0,0
Licenciatura,Unión Libre,65748.0,0,1,2013-04-15,58,172,73,93,95,78,34,2,2,4,10,1,0,0,0,0,0,1,0,71,1,2013,545,18,0,0,0,0
Licenciatura,Unión Libre,77044.0,0,1,2013-10-27,12,625,38,242,50,34,76,2,7,11,11,4,1,0,0,0,0,0,0,54,1,2013,1065,31,1,0,0,0
Licenciatura,Unión Libre,74918.0,0,0,2013-03-12,78,972,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,0,0,57,0,2013,2047,21,1,0,0,0
Licenciatura,Casado,56721.0,1,1,2012-10-31,64,157,6,39,6,13,75,5,4,1,5,6,0,0,0,0,0,0,0,54,2,2012,296,15,0,1,0,0
Licenciatura,Soltero,42160.0,1,1,2013-06-28,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,0,1,51,2,2013,140,11,1,1,0,0
Licenciatura,Soltero,61559.0,0,1,2013-07-17,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,61,1,2013,530,17,0,1,0,0
Doctorado,Unión Libre,33629.0,1,1,2012-08-08,49,132,0,16,0,0,4,5,3,1,4,9,0,0,0,0,0,0,0,63,2,2012,152,13,0,1,1,0
Doctorado,Unión Libre,68682.0,0,0,2013-10-06,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,35,0,2013,1598,24,0,0,0,0
Licenciatura,Soltero,34377.0,0,1,2013-01-19,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0,0,0,0,0,63,1,2013,114,8,0,1,1,0
Básica,Soltero,8940.0,1,0,2012-08-22,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0,40,1,2012,101,10,0,1,1,0
Licenciatura,Casado,26228.0,1,0,2013-09-22,50,2,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,0,53,1,2013,25,4,0,1,1,0
Posgrado,Divorciado,77297.0,0,0,2013-01-26,84,408,61,109,48,122,41,1,5,7,9,4,0,0,0,1,0,0,0,69,0,2013,789,22,1,0,0,-1
Licenciatura,Casado,40211.0,1,1,2013-07-30,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,0,45,2,2013,87,7,1,1,1,0
Doctorado,Viudo,33438.0,1,1,2013-09-22,81,62,1,16,3,2,6,4,2,1,4,5,0,0,0,0,0,0,0,68,2,2013,90,11,0,1,1,0
Doctorado,Casado,75032.0,0,1,2013-04-28,74,952,12,180,47,12,12,2,5,4,9,3,0,0,0,0,0,0,0,67,1,2013,1215,20,0,0,0,0
Doctorado,Soltero,61284.0,0,0,2013-10-12,76,618,15,106,20,7,45,1,11,2,8,6,0,1,0,0,0,0,0,71,0,2013,811,22,1,0,0,0
Licenciatura,Casado,22518.0,1,0,2012-10-22,36,11,7,12,2,2,27,2,2,1,2,5,1,0,0,0,0,0,1,40,1,2012,61,7,2,1,1,0
Maestría,Casado,54730.0,0,1,2013-08-15,64,318,3,17,4,7,56,5,4,1,8,4,0,0,0,0,0,0,0,51,1,2013,405,18,0,1,0,0
Maestría,Casado,38452.0,1,1,2014-03-30,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0,71,2,2014,72,9,0,1,1,0
Licenciatura,Divorciado,44421.0,1,1,2013-02-15,53,110,5,59,7,1,7,5,5,0,4,8,0,0,0,0,0,0,0,55,2,2013,189,14,0,1,1,0
Doctorado,Unión Libre,38197.0,1,0,2013-06-29,86,23,0,11,2,1,3,1,1,0,3,5,0,0,0,0,0,0,0,40,1,2013,40,5,0,1,1,0
Licenciatura,Divorciado,41986.0,0,1,2014-02-09,15,27,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,0,0,48,1,2014,63,10,0,1,1,0
Licenciatura,Unión Libre,28427.0,1,0,2013-03-21,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0,43,1,2013,52,7,0,1,1,0
Doctorado,Unión Libre,37395.0,1,0,2014-05-02,47,18,0,9,0,1,11,1,1,0,3,6,0,0,0,0,0,0,0,50,1,2014,39,5,0,1,1,0
Licenciatura,Casado,64722.0,1,0,2014-05-26,47,303,0,280,60,147,15,4,8,2,11,6,0,0,0,0,0,0,0,55,1,2014,805,25,0,0,0,0
Maestría,Unión Libre,55249.0,0,1,2014-04-17,81,97,1,19,2,0,11,1,2,1,4,3,0,0,0,0,0,0,0,70,1,2014,130,8,0,1,1,0
Licenciatura,Unión Libre,84906.0,0,0,2013-10-04,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,54,0,2013,1631,24,3,0,0,0
Licenciatura,Casado,28691.0,1,0,2013-07-04,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,37,1,2013,34,5,0,1,1,0
Licenciatura,Soltero,44213.0,1,1,2013-11-29,48,95,11,35,0,4,7,4,2,1,5,6,0,0,0,0,0,0,0,74,2,2013,152,12,0,1,1,0
Básica,Soltero,25707.0,1,0,2014-01-18,18,1,6,2,3,6,3,1,1,0,3,7,0,0,0,0,0,0,0,42,1,2014,21,5,0,1,1,0
Doctorado,Casado,59062.0,2,1,2013-10-03,74,46,1,12,3,0,9,2,2,0,3,4,0,0,0,0,0,0,0,59,3,2013,71,7,0,1,1,0
Licenciatura,Soltero,76624.0,0,1,2014-05-24,68,411,106,147,54,115,66,1,5,10,7,1,1,0,0,0,0,0,0,64,1,2014,899,23,1,0,0,0
Maestría,Unión Libre,66000.0,0,0,2014-04-20,36,244,51,270,101,0,45,1,1,3,5,1,0,0,0,0,0,0,0,79,0,2014,711,10,0,0,0,0
Doctorado,Unión Libre,27683.0,1,0,2012-08-04,90,152,9,121,12,12,45,4,6,2,4,8,0,0,0,0,0,0,0,48,1,2012,351,16,0,1,1,0
Licenciatura,Divorciado,1730.0,0,0,2014-05-18,65,1,1,3,1,1,1,15,0,0,0,20,0,0,0,0,0,0,0,55,0,2014,8,15,0,1,1,-1
Básica,Soltero,7500.0,1,0,2012-12-03,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0,0,34,1,2012,119,11,0,1,1,0
Licenciatura,Unión Libre,40521.0,1,1,2013-04-05,82,12,0,5,0,0,4,1,0,1,2,5,0,0,0,0,0,0,0,58,2,2013,21,4,0,1,1,0
Doctorado,Unión Libre,20427.0,1,0,2014-03-24,63,5,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,53,1,2014,10,4,0,1,1,0
Licenciatura,Casado,65106.0,0,1,2014-05-24,55,790,19,133,12,0,19,3,8,3,13,6,0,1,0,0,0,0,0,51,1,2014,973,27,1,0,0,0
Doctorado,Casado,69969.0,0,0,2013-08-27,64,882,29,514,38,29,44,1,4,2,6,3,0,0,1,1,0,0,1,61,0,2013,1536,13,3,0,0,-1
Licenciatura,Casado,67433.0,0,2,2013-07-16,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,0,74,2,2013,992,28,1,0,0,0
Doctorado,Casado,77766.0,0,1,2013-02-22,97,1004,59,265,115,59,27,2,11,10,11,6,1,0,0,0,0,0,1,59,1,2013,1529,34,2,0,0,-1
Licenciatura,Casado,74716.0,0,1,2013-09-12,92,133,27,421,13,195,71,2,7,3,5,4,0,0,0,0,0,0,0,54,1,2013,860,17,0,0,0,0
Licenciatura,Divorciado,68118.0,0,1,2013-10-18,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,63,1,2013,928,23,0,0,0,0
Doctorado,Casado,55158.0,1,1,2012-07-30,72,293,0,87,4,11,23,4,7,2,5,7,0,0,0,0,0,0,1,56,2,2012,418,18,1,1,0,0
Posgrado,Casado,62972.0,0,1,2012-08-03,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,1,71,1,2012,587,16,1,0,0,0
Licenciatura,Casado,74190.0,0,1,2014-05-12,49,151,81,86,168,91,64,2,4,2,11,2,0,0,0,0,0,0,0,51,1,2014,641,19,0,0,0,0
Licenciatura,Casado,39356.0,1,1,2014-03-19,21,15,0,2,0,0,6,1,1,0,2,6,1,0,0,0,0,0,0,50,2,2014,23,4,1,1,1,0
Licenciatura,Unión Libre,76653.0,0,0,2013-08-16,91,736,63,946,219,189,126,1,4,7,11,2,0,0,1,1,0,0,0,57,0,2013,2279,23,2,0,0,0
Doctorado,Divorciado,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,0,53,2,2014,49,6,1,1,1,0
Doctorado,Divorciado,90687.0,0,0,2013-05-22,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,0,1,43,0,2013,1779,17,2,0,0,-1
Maestría,Unión Libre,73450.0,0,0,2013-12-05,85,1142,51,415,90,69,37,1,7,8,11,3,1,0,0,1,0,0,0,44,0,2013,1804,27,2,0,0,-1
Licenciatura,Casado,31454.0,1,1,2013-07-06,40,28,0,11,0,0,9,3,2,0,3,8,0,0,0,0,0,0,0,66,2,2013,48,8,0,1,1,0
Licenciatura,Soltero,47139.0,1,1,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,0,1,74,2,2014,83,7,1,1,1,0
Licenciatura,Divorciado,83829.0,0,0,2013-10-08,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,51,0,2013,1862,17,4,0,0,-1
Doctorado,Casado,53378.0,1,1,2012-09-24,41,489,6,152,8,6,132,10,9,4,6,8,0,0,0,0,0,0,1,63,2,2012,793,29,1,0,0,0
Licenciatura,Unión Libre,19656.0,1,0,2013-02-08,94,25,4,9,6,8,32,3,2,1,3,7,0,0,0,0,0,0,0,56,1,2013,84,9,0,1,1,0
Doctorado,Casado,45579.0,0,1,2013-08-20,10,145,1,33,2,1,1,1,4,1,4,6,0,0,0,0,0,0,0,78,1,2013,183,10,0,1,0,0
Posgrado,Soltero,85485.0,0,0,2014-06-21,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,68,0,2014,1383,19,0,0,0,0
Licenciatura,Casado,55956.0,0,0,2014-04-07,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,0,82,0,2014,999,16,1,0,0,0
Maestría,Soltero,64191.0,0,1,2013-01-22,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0,63,1,2013,825,24,0,0,0,0
Licenciatura,Soltero,38808.0,1,0,2012-08-26,21,125,17,52,3,19,30,4,5,1,4,8,1,0,0,0,0,0,1,54,1,2012,246,14,2,1,1,0
Maestría,Casado,57183.0,1,1,2013-03-19,51,464,5,64,7,0,70,8,9,1,7,8,0,0,0,0,0,0,0,60,2,2013,610,25,0,0,0,0
Maestría,Divorciado,23748.0,1,0,2012-11-21,97,6,6,29,12,15,8,3,2,1,3,8,0,0,0,0,0,0,0,58,1,2012,76,9,0,1,1,0
Licenciatura,Casado,66303.0,0,1,2013-02-26,56,1090,12,96,16,12,60,4,3,4,11,8,0,1,0,0,0,0,0,55,1,2013,1286,22,1,0,0,0
Maestría,Casado,37368.0,1,0,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,51,1,2013,30,4,1,1,1,0
Licenciatura,Casado,40800.0,1,2,2013-01-01,77,24,0,27,8,30,10,2,3,0,3,7,0,0,0,0,0,1,0,62,3,2013,99,8,0,1,1,0
Licenciatura,Divorciado,71847.0,0,0,2012-09-21,95,737,21,106,55,63,210,0,6,7,9,3,0,0,0,1,0,0,0,48,0,2012,1192,22,1,0,0,0
Licenciatura,Casado,46149.0,0,1,2013-11-29,36,254,6,71,4,0,27,5,5,1,7,5,0,0,0,0,0,0,0,51,1,2013,362,18,0,1,0,0
Licenciatura,Unión Libre,78687.0,0,0,2012-08-09,13,817,185,687,145,55,241,1,4,6,8,2,0,0,1,0,0,0,1,43,0,2012,2130,19,2,0,0,0
Posgrado,Divorciado,49118.0,0,0,2012-08-18,90,620,54,239,99,98,119,2,9,7,10,7,0,1,0,0,1,0,1,55,0,2012,1229,28,3,0,0,-1
Doctorado,Casado,37633.0,1,1,2012-09-20,49,13,4,20,0,0,1,2,1,0,3,9,0,0,0,0,0,0,0,69,2,2012,38,6,0,1,1,0
Maestría,Unión Libre,39767.0,0,0,2013-07-21,18,113,61,204,34,26,47,2,7,1,7,8,0,0,0,0,0,0,0,75,0,2013,485,17,0,0,0,0
Básica,Casado,26997.0,0,0,2012-11-05,89,7,23,78,133,49,144,2,4,2,5,7,0,0,0,0,0,0,0,75,0,2012,434,13,0,1,0,0
Licenciatura,Divorciado,33986.0,1,0,2013-03-14,43,16,2,18,2,1,5,1,1,0,3,7,0,0,0,0,0,0,0,56,1,2013,44,5,0,1,1,0
Doctorado,Casado,57091.0,0,1,2012-11-23,82,462,0,24,6,0,4,2,9,2,5,7,0,1,0,0,0,0,1,54,1,2012,496,18,2,0,0,0
Posgrado,Casado,46831.0,1,1,2013-06-08,84,22,2,10,6,4,34,2,1,2,2,4,0,0,0,0,0,0,0,57,2,2013,78,7,0,1,1,0
Maestría,Casado,83151.0,0,0,2013-02-10,80,968,147,842,137,42,210,1,5,7,10,2,1,0,1,1,0,0,1,54,0,2013,2346,23,4,0,0,-1
Licenciatura,Casado,52531.0,0,0,2012-12-30,68,283,112,151,51,72,125,2,7,2,10,6,0,0,0,0,0,0,0,55,0,2012,794,21,0,0,0,0
Licenciatura,Casado,15759.0,0,0,2013-09-05,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,0,0,70,0,2013,17,4,0,1,0,0
Licenciatura,Soltero,22804.0,1,0,2013-07-31,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,55,1,2013,26,5,0,1,1,0
Posgrado,Casado,43050.0,1,0,2014-03-18,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0,0,0,0,0,53,1,2014,76,8,0,1,1,0
Doctorado,Soltero,42997.0,1,1,2013-12-07,91,4,0,5,0,1,5,1,1,0,2,7,0,0,0,0,0,0,0,49,2,2013,15,4,0,1,1,0
Doctorado,Soltero,48918.0,1,1,2014-04-12,21,52,0,9,0,0,1,2,1,0,4,4,0,0,0,0,0,0,0,63,2,2014,62,7,0,1,1,0
Maestría,Unión Libre,60033.0,0,1,2014-03-29,28,62,1,57,19,11,48,2,2,1,5,2,0,0,0,0,0,0,0,72,1,2014,198,10,0,1,1,0
Doctorado,Unión Libre,34043.0,1,0,2013-10-25,97,20,2,14,3,0,10,1,2,0,2,9,0,0,0,0,0,0,0,48,1,2013,49,5,0,1,1,0
Licenciatura,Unión Libre,57811.0,0,1,2013-06-24,49,545,7,114,37,21,78,5,7,2,11,5,0,1,0,0,0,0,0,60,1,2013,802,25,1,0,0,0
Licenciatura,Casado,78569.0,0,0,2014-02-19,14,558,79,622,207,175,95,1,4,6,4,1,0,0,1,0,0,0,1,80,0,2014,1736,15,2,0,0,0
Licenciatura,Soltero,7500.0,1,1,2012-12-27,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,48,2,2012,57,10,0,1,1,0
Maestría,Unión Libre,157733.0,1,0,2013-06-04,37,39,1,9,2,0,8,0,1,0,1,1,0,0,0,0,0,0,0,55,1,2013,59,2,0,0,0,-1
Licenciatura,Unión Libre,94384.0,0,0,2013-03-04,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,1,73,0,2013,2302,18,4,0,0,-1
Posgrado,Casado,23148.0,0,0,2014-02-18,83,4,6,8,6,3,10,1,2,0,3,7,0,0,0,0,0,0,0,41,0,2014,37,6,0,1,1,0
Licenciatura,Divorciado,44267.0,1,1,2013-02-25,48,183,5,65,3,5,49,5,5,2,4,9,0,0,0,0,0,0,0,56,2,2013,310,16,0,1,1,0
Licenciatura,Casado,71626.0,0,0,2012-11-01,94,546,72,376,94,145,72,1,5,5,8,3,0,1,0,0,0,0,0,47,0,2012,1305,19,1,0,0,0
Licenciatura,Unión Libre,60894.0,0,1,2013-06-28,61,606,7,155,10,0,54,5,10,3,8,7,0,0,0,0,0,0,0,60,1,2013,832,26,0,0,0,0
Licenciatura,Unión Libre,50200.0,1,1,2013-04-03,70,266,6,51,8,6,64,6,7,1,5,8,0,0,0,0,0,0,0,50,2,2013,401,19,0,1,0,0
Doctorado,Casado,81051.0,0,0,2014-05-23,43,1142,29,249,38,29,14,1,5,5,12,2,0,1,1,0,0,0,0,61,0,2014,1501,23,2,0,0,-1
Licenciatura,Casado,65169.0,0,0,2014-01-14,23,1074,0,69,0,0,46,1,10,4,13,6,1,0,1,1,1,0,1,44,0,2014,1189,28,5,0,0,-1
Licenciatura,Unión Libre,59868.0,0,1,2013-07-22,37,771,51,154,54,10,154,7,11,2,12,6,0,0,0,0,0,0,0,54,1,2013,1194,32,0,0,0,0
Doctorado,Casado,65695.0,0,1,2014-01-31,50,371,32,189,0,58,6,2,5,4,10,4,0,0,0,0,0,0,0,66,1,2014,656,21,0,0,0,0
Maestría,Soltero,64857.0,0,0,2012-11-23,78,556,14,717,210,0,43,1,7,5,10,4,0,0,0,0,0,0,0,70,0,2012,1540,23,0,0,0,1
Maestría,Unión Libre,45143.0,0,1,2013-08-26,74,202,5,74,11,5,14,3,6,1,5,7,0,0,0,0,0,0,0,61,1,2013,311,15,0,1,0,0
Posgrado,Unión Libre,74805.0,0,1,2013-11-06,14,209,162,209,41,162,37,5,4,7,10,2,0,0,0,0,0,0,0,71,1,2013,820,26,0,0,0,0
Posgrado,Casado,59060.0,1,0,2014-01-11,77,35,40,111,36,40,12,3,3,1,7,4,0,0,0,0,0,0,0,37,1,2014,274,14,0,1,0,0
Doctorado,Soltero,27238.0,1,1,2013-04-20,39,37,0,17,0,0,3,3,3,0,3,9,0,0,0,0,0,0,0,64,2,2013,57,9,0,1,1,0
Licenciatura,Unión Libre,47009.0,0,1,2013-10-01,89,171,45,73,59,10,90,4,3,2,8,4,0,0,0,0,0,0,0,61,1,2013,448,17,0,1,0,0
Posgrado,Casado,46094.0,1,1,2014-06-10,62,12,2,20,3,2,5,1,1,0,3,7,0,0,0,0,0,0,0,53,2,2014,44,5,0,1,1,0
Licenciatura,Casado,40321.0,1,1,2013-07-29,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,54,2,2013,102,8,0,1,1,0
Licenciatura,Unión Libre,37235.0,1,0,2014-02-01,68,20,2,9,4,6,20,1,1,1,2,4,0,0,0,0,0,0,0,42,1,2014,61,5,0,1,1,0
Maestría,Casado,81843.0,0,0,2013-04-22,13,779,86,537,34,69,138,1,5,9,12,3,0,0,0,0,0,0,0,66,0,2013,1643,27,0,0,0,0
Maestría,Unión Libre,46692.0,0,1,2013-06-06,37,170,6,97,24,12,88,3,6,1,5,6,0,0,0,0,0,0,0,68,1,2013,397,15,0,1,1,0
Licenciatura,Unión Libre,77382.0,0,1,2014-01-07,36,491,48,231,112,105,134,2,5,7,12,1,0,0,1,0,0,0,0,58,1,2014,1121,26,1,0,0,0
Licenciatura,Soltero,37774.0,2,0,2012-09-03,28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,1,49,2,2012,473,16,2,1,0,0
Básica,Casado,18393.0,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,52,1,2014,50,8,0,1,1,0
Maestría,Casado,72828.0,0,1,2013-02-14,17,1205,0,235,19,14,205,6,6,3,13,7,0,0,0,0,0,0,0,64,1,2013,1678,28,0,0,0,0
Licenciatura,Casado,24711.0,0,0,2014-04-18,86,10,7,25,6,3,7,1,3,0,3,7,0,0,0,0,0,0,0,44,0,2014,58,7,0,1,1,0
Doctorado,Casado,45503.0,1,0,2013-09-25,54,97,4,44,6,1,18,1,3,1,4,5,0,0,0,0,0,0,0,51,1,2013,170,9,0,1,1,0
Maestría,Soltero,6560.0,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,44,0,2013,373,2,0,1,1,-1
Doctorado,Unión Libre,71604.0,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,0,1,81,0,2013,1196,17,2,0,0,-1
Licenciatura,Casado,27244.0,1,0,2014-03-07,84,6,5,17,3,24,46,2,2,2,2,7,0,0,0,0,0,0,0,47,1,2014,101,8,0,1,1,0
Licenciatura,Casado,48752.0,1,1,2012-12-12,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,0,1,57,2,2012,316,17,1,1,0,0
Licenciatura,Casado,71434.0,0,1,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,64,1,2013,1400,21,2,0,0,0
Licenciatura,Soltero,90842.0,0,0,2013-07-29,57,774,70,118,182,187,93,1,4,9,13,1,0,0,0,0,0,0,0,78,0,2013,1424,27,0,0,0,0
Maestría,Casado,88097.0,1,0,2012-08-18,24,163,0,480,0,126,75,1,6,5,8,9,0,1,1,1,0,0,1,48,1,2012,844,20,4,0,0,-1
Licenciatura,Casado,51948.0,0,1,2013-09-17,51,82,33,54,71,30,41,2,5,2,4,5,0,0,0,0,0,0,0,51,1,2013,311,13,0,1,0,0
Licenciatura,Unión Libre,71853.0,0,0,2013-05-08,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,44,0,2013,1149,17,0,0,0,0
Maestría,Casado,35876.0,0,0,2014-04-20,13,66,2,40,4,3,14,1,3,1,3,6,0,0,0,0,0,0,0,43,0,2014,129,8,0,1,0,0
Licenciatura,Viudo,40049.0,0,1,2013-10-16,23,13,6,7,0,3,3,1,1,0,3,6,0,0,0,0,0,0,0,74,1,2013,32,5,0,1,1,0
